"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"470",470,2.1463,"MS-DRG",31,3.09999990463257,0,,3.40000009536743,10/1/2013,2014
"471",471,4.9444,"MS-DRG",31,6.40000009536743,0,,8.89999961853027,10/1/2013,2014
"472",472,2.9288,"MS-DRG",31,2.5,0,,3.5,10/1/2013,2014
"473",473,2.2458,"MS-DRG",31,1.5,0,,1.79999995231628,10/1/2013,2014
"474",474,3.6884,"MS-DRG",31,8.80000019073486,0,,11.1999998092651,10/1/2013,2014
"475",475,2.0488,"MS-DRG",31,5.69999980926514,0,,7.09999990463257,10/1/2013,2014
"476",476,1.0717,"MS-DRG",31,3.09999990463257,0,,3.90000009536743,10/1/2013,2014
"477",477,3.2827,"MS-DRG",31,8.60000038146973,0,,10.8000001907349,10/1/2013,2014
"478",478,2.2115,"MS-DRG",31,5.40000009536743,0,,6.69999980926514,10/1/2013,2014
"479",479,1.734,"MS-DRG",31,3.29999995231628,0,,4.19999980926514,10/1/2013,2014
"480",480,3.0694,"MS-DRG",31,7.09999990463257,0,,8.30000019073486,10/1/2013,2014
"481",481,1.9721,"MS-DRG",31,4.80000019073486,0,,5.19999980926514,10/1/2013,2014
"482",482,1.6305,"MS-DRG",31,3.90000009536743,0,,4.19999980926514,10/1/2013,2014
"483",483,2.6488,"MS-DRG",31,2.79999995231628,0,,3.40000009536743,10/1/2013,2014
"484",484,2.2298,"MS-DRG",31,1.79999995231628,0,,2,10/1/2013,2014
"485",485,3.2719,"MS-DRG",31,8.39999961853027,0,,10.3000001907349,10/1/2013,2014
"486",486,2.0199,"MS-DRG",31,5.59999990463257,0,,6.5,10/1/2013,2014
"487",487,1.5215,"MS-DRG",31,4.09999990463257,0,,4.59999990463257,10/1/2013,2014
"488",488,1.7379,"MS-DRG",31,3.5,0,,4.30000019073486,10/1/2013,2014
"489",489,1.2799,"MS-DRG",31,2.5,0,,2.79999995231628,10/1/2013,2014
"490",490,1.8845,"MS-DRG",31,3.40000009536743,0,,4.59999990463257,10/1/2013,2014
"491",491,1.0893,"MS-DRG",31,1.89999997615814,0,,2.29999995231628,10/1/2013,2014
"492",492,3.1831,"MS-DRG",31,6.40000009536743,0,,8,10/1/2013,2014
"493",493,1.9971,"MS-DRG",31,4,0,,4.80000019073486,10/1/2013,2014
"494",494,1.5073,"MS-DRG",31,2.70000004768372,0,,3.20000004768372,10/1/2013,2014
"495",495,2.911,"MS-DRG",31,7.19999980926514,0,,9.60000038146973,10/1/2013,2014
"496",496,1.729,"MS-DRG",31,4,0,,5.19999980926514,10/1/2013,2014
"497",497,1.1731,"MS-DRG",31,2.09999990463257,0,,2.59999990463257,10/1/2013,2014
"498",498,2.1924,"MS-DRG",31,5.30000019073486,0,,7.19999980926514,10/1/2013,2014
"499",499,0.9577,"MS-DRG",31,2.09999990463257,0,,2.59999990463257,10/1/2013,2014
"500",500,3.0116,"MS-DRG",31,7.30000019073486,0,,9.80000019073486,10/1/2013,2014
"501",501,1.5804,"MS-DRG",31,4.40000009536743,0,,5.5,10/1/2013,2014
